identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;pays;latitude;longitude;precision_du_geocodage;numero_de_telephone;identifiant_du_site;site_acores_de_rattachement;code_insee;latlong;dep
CHAMPS SUR MARNE BP;Bureau de Poste;RUE DE CHELLES;;;77420;CHAMPS SUR MARNE;FRANCE;48.853794;2.597419;Géocodé au numéro;3631;14666A;;77083;48.853794, 2.597419;77
PARIS GUY MOQUET;Bureau de Poste;57 AVENUE DE SAINT OUEN;;;75017;PARIS;FRANCE;48.891394;2.326888;Géocodé au numéro;3631;14287A;;75117;48.891394, 2.326888;75
PARIS JEANNE D'ARC;Bureau de Poste;38 PLACE JEANNE D ARC;;;75013;PARIS;FRANCE;48.830508;2.368065;Géocodé au numéro;3631;14289A;;75113;48.830508, 2.368065;75
PARIS PALAIS ROYAL BP;Bureau de Poste;8 RUE MOLIERE;;;75001;PARIS;FRANCE;48.864595;2.335516;Géocodé au numéro;3631;14276A;;75101;48.864595, 2.335516;75
PARIS PICPUS;Bureau de Poste;65 RUE DU RENDEZ VOUS;;;75012;PARIS;FRANCE;48.846593;2.400826;Géocodé au numéro;3631;14299A;;75112;48.846593, 2.400826;75
PARIS MADELEINE BP;Bureau de Poste;38 RUE VIGNON;;;75009;PARIS;FRANCE;48.872498;2.326629;Géocodé au numéro;3631;14318A;;75109;48.872498, 2.326629;75
PARIS LITTRE BP;Bureau de Poste;22 RUE LITTRE;;;75006;PARIS;FRANCE;48.844551;2.324348;Géocodé au numéro;3631;14270A;;75106;48.844551, 2.324348;75
ASNIERES LPR BAZAR DES VOUTES RP;Relais poste commerçant;36 AVENUE DE LA MARNE;LA POSTE RELAIS BAZAR DES VOUTES;;92600;ASNIERES SUR SEINE;FRANCE;;;;3631;12320D;17066A;92004;;92
PARIS MONTSOURIS BP;Bureau de Poste;78 RUE DE L AMIRAL MOUCHEZ;;;75014;PARIS;FRANCE;48.821194;2.342527;Géocodé au numéro;3631;14384A;;75114;48.821194, 2.342527;75
PARIS GRANDE ARMEE BP;Bureau de Poste;58 AVENUE DE LA GRANDE ARMEE;;;75017;PARIS;FRANCE;48.876798;2.28645;Géocodé au numéro;3631;14288A;;75117;48.876798, 2.28645;75
PARIS GOUVION SAINT CYR BP;Bureau de Poste;79 RUE BAYEN;;;75017;PARIS;FRANCE;48.88372;2.289663;Géocodé au numéro;3631;14362A;;75117;48.88372, 2.289663;75
PARIS SAINT BLAISE BP;Bureau de Poste;37 RUE MOURAUD;;;75020;PARIS;FRANCE;48.856098;2.408479;Géocodé au numéro;3631;14210A;;75120;48.856098, 2.408479;75
PARIS MARX DORMOY;Bureau de Poste;2 RUE ORDENER;;;75018;PARIS;FRANCE;48.890314;2.359597;Géocodé au numéro;3631;14284A;;75118;48.890314, 2.359597;75
PARIS PLACE GAMBETTA;Bureau de Poste;7 PLACE GAMBETTA;;;75020;PARIS;FRANCE;48.8652;2.3981;Géocodé au numéro;3631;14167A;;75120;48.8652, 2.3981;75
INTERMARCHE RELAIS POSTE URBAIN RP;Relais poste commerçant;ALLEE CLAUDE BERNARD;CENTRE COMMERCIAL BALZAC;;92000;NANTERRE;FRANCE;;;Géocodé au centre de la commune;3631;11522D;20371B;92050;;92
LPR ERAGNY SUPERMARCHE G20 RP;Relais poste commerçant;1 RUE DE LA PAPETERIE;;;95610;ERAGNY SUR OISE;FRANCE;;;Géocodé au centre de la commune;3631;11654D;17496A;95218;;95
PIMMS RELAIS POSTE URBAIN AP;Relais poste commerçant;PLACE DES BACONNETS;;;92160;ANTONY;FRANCE;;;Géocodé au centre de la commune;3631;11581D;17063A;92002;;92
PARIS LA BOETIE;Bureau de Poste;49 RUE LA BOETIE;;;75008;PARIS;FRANCE;;;;3631;14228A;;75108;;75
LA CHAPELLE LA REINE BP;Bureau de Poste;13 SQUARE SAINT LOUIS;;;77760;LA CHAPELLE LA REINE;FRANCE;48.318871;2.5725;Géocodé au numéro;3631;14669A;;77088;48.318871, 2.5725;77
BETON BAZOCHES BP;Bureau de Poste;3 PLACE DE L EGLISE ST DENIS;;;77320;BETON BAZOCHES;FRANCE;48.702;3.244469;Géocodé au numéro;3631;14652A;;77032;48.702, 3.244469;77
PARIS PALAIS BOURBON;Bureau de Poste;126 RUE DE L UNIVERSITE;;;75007;PARIS;FRANCE;48.860792;2.317836;Géocodé au numéro;3631;14258A;;75107;48.860792, 2.317836;75
PARIS MONCEAU BP;Bureau de Poste;101 BOULEVARD MALESHERBES;;;75008;PARIS;FRANCE;48.8792;2.3142;Géocodé au numéro;3631;14264A;;75108;48.8792, 2.3142;75
PARIS CURIAL BP;Bureau de Poste;218 RUE DE CRIMEE;;;75019;PARIS;FRANCE;48.892692;2.37451;Géocodé au numéro;3631;14219A;;75119;48.892692, 2.37451;75
PARIS REUILLY;Bureau de Poste;30 RUE DE REUILLY;;;75012;PARIS;FRANCE;48.846492;2.387209;Géocodé au numéro;3631;14232A;;75112;48.846492, 2.387209;75
ST MICHEL SUR ORGE AP;Agence postale communale;PLACE DU 19 MARS 62;MAISON DES SENIORS;;91240;ST MICHEL SUR ORGE;FRANCE;48.63388;2.303977;Géocodé au numéro;3631;10630D;16927A;91570;48.63388, 2.303977;91
APC VULAINES SUR SEINE AP;Agence postale communale;6 RUE RICHE;MAIRIE;;77870;VULAINES SUR SEINE;FRANCE;48.43082;2.76498;Géocodé au numéro;3631;11894D;14646A;77533;48.43082, 2.76498;77
AUBERVILLIERS MOUTIER RP;Relais poste commerçant;48 RUE DU MOUTIER;FLEURISTE;;93300;AUBERVILLIERS;FRANCE;48.9151;2.3802;Géocodé au numéro;3631;11361D;17180A;93001;48.9151, 2.3802;93
MONTREUIL RPU BEAUMARCHAIS RP;Relais poste commerçant;3 RUE BEAUMARCHAIS;FRANPRIX;;93100;MONTREUIL;FRANCE;48.857;2.4316;Géocodé au numéro;3631;11471D;17199A;93048;48.857, 2.4316;93
RPU FRANPRIX ASNIERES SUR SEINE RP;Relais poste commerçant;180 BOULEVARD VOLTAIRE;;;92600;ASNIERES SUR SEINE;FRANCE;48.918395;2.282985;Géocodé au numéro;3631;11660D;17104A;92004;48.918395, 2.282985;92
FRANPRIX RELAIS POSTE URBAIN RP;Relais poste commerçant;76 BOULEVARD SENARD;;;92210;ST CLOUD;FRANCE;48.8566;2.2212;Géocodé au numéro;3631;11487D;17093A;92064;48.8566, 2.2212;92
VERT AP;Agence postale communale;34 GRANDE RUE;;;78930;VERT;FRANCE;48.941007;1.690986;Géocodé au numéro;3631;15029A;14975A;78647;48.941007, 1.690986;78
MANTES LA JOLIE PRINCIPAL BP;Bureau de Poste;6 RUE LA FONTAINE;;;78200;MANTES LA JOLIE;FRANCE;48.999116;1.685331;Géocodé au numéro;3631;14974A;;78361;48.999116, 1.685331;78
GUYANCOURT VILLAROY;Bureau de Poste;1 RUE LOUIS LE VAU;;;78280;GUYANCOURT;FRANCE;48.768458;2.078003;Géocodé au numéro;3631;14959A;;78297;48.768458, 2.078003;78
ORGEVAL BP;Bureau de Poste;23 RUE DE FEUCHEROLLES;;;78630;ORGEVAL;FRANCE;48.9186;1.975578;Géocodé au numéro;3631;14996A;;78466;48.9186, 1.975578;78
JOUY LE MOUTIER BP;Bureau de Poste;ALLEE DU PARC;CENTRE COMMERCIAL LES EGUERETS;;95280;JOUY LE MOUTIER;FRANCE;49.011693;2.044258;Géocodé au numéro;3631;17557A;;95323;49.011693, 2.044258;95
PARIS STATION F BP;Bureau de Poste;55 BOULEVARD VINCENT AURIOL;;60 RUE GL 13;75013;PARIS;FRANCE;48.83528;2.36947;Géocodé au numéro;3631;11780D;;75113;48.83528, 2.36947;75
CERNY AP;Agence postale communale;8 RUE DUGOMMIER;;;91590;CERNY;FRANCE;48.476164;2.329617;Géocodé au numéro;3631;16933A;16969A;91129;48.476164, 2.329617;91
RUEIL MALMAISON JAURES;Bureau de Poste;6 B PLACE JEAN JAURES;;;92500;RUEIL MALMAISON;FRANCE;48.877799;2.17807;Géocodé au numéro;3631;17092A;;92063;48.877799, 2.17807;92
CHAVILLE BP;Bureau de Poste;1332 AVENUE ROGER SALENGRO;;;92370;CHAVILLE;FRANCE;48.810132;2.190231;Géocodé au numéro;3631;17072A;;92022;48.810132, 2.190231;92
MONTLHERY;Bureau de Poste;3 RUE ERNEST CHESNEAU;;;91310;MONTLHERY;FRANCE;48.640096;2.271407;Géocodé au numéro;3631;16972A;;91425;48.640096, 2.271407;91
SACLAS BP;Bureau de Poste;4 RUE JOLIOT CURIE;;;91690;SACLAS;FRANCE;48.360097;2.124839;Géocodé au numéro;3631;16984A;;91533;48.360097, 2.124839;91
SCEAUX HOUDAN;Bureau de Poste;75 RUE HOUDAN;;;92330;SCEAUX;FRANCE;48.778996;2.290095;Géocodé au numéro;3631;17094A;;92071;48.778996, 2.290095;92
PARIS RPU JARDIN DES PLANTES RP;Relais poste commerçant;4 BOULEVARD DE L HOPITAL;Kiosque a journaux;;75005;PARIS;FRANCE;;;Géocodé au centre de la commune;3631;11984D;14303A;75105;;75
CHILLY RELAIS POSTE COMMERCANT RP;Relais poste commerçant;38 ROUTE DE LONGJUMEAU;INTERMARCHE RPC;;91380;CHILLY MAZARIN;FRANCE;;;Géocodé au centre de la commune;3631;11738D;16937A;91161;;91
GOUAIX AP;Agence postale communale;12 AVENUE DE LA GARE;MAIRIE;;77114;GOUAIX;FRANCE;48.480898;3.293799;Géocodé au numéro;3631;14727A;14771A;77208;48.480898, 3.293799;77
ATHIS MONS APC DU VAL AP;Agence postale communale;105 AVENUE DU 18 AVRIL;;;91200;ATHIS MONS;FRANCE;48.702297;2.38692;Géocodé au numéro;3631;17026A;16910A;91027;48.702297, 2.38692;91
VILLEMOISSON SUR ORGE BP;Bureau de Poste;PLACE DU POIRIER DE LA FARINETTE;;;91360;VILLEMOISSON SUR ORGE;FRANCE;48.661696;2.33008;Géocodé au milieu de la rue;3631;17006A;;91667;48.661696, 2.33008;91
EPINAY SUR ORGE BP;Bureau de Poste;11 COURS DU GENERAL DE GAULLE;;;91360;EPINAY SUR ORGE;FRANCE;48.672995;2.325939;Géocodé au numéro;3631;16945A;;91216;48.672995, 2.325939;91
LA FERTE GAUCHER BP;Bureau de Poste;2 PLACE DU GENERAL DE GAULLE;;;77320;LA FERTE GAUCHER;FRANCE;48.781507;3.305963;Géocodé au numéro;3631;14717A;;77182;48.781507, 3.305963;77
LA VILLE DU BOIS BP;Bureau de Poste;7 RUE DU GRAND NOYER;;;91620;LA VILLE DU BOIS;FRANCE;48.660796;2.268626;Géocodé au numéro;3631;17005A;;91665;48.660796, 2.268626;91
EVRY LES AUNETTES BP;Bureau de Poste;38 PLACE DES AUNETTES;;;91000;EVRY;FRANCE;48.618665;2.433092;Géocodé au numéro;3631;17017A;;91228;48.618665, 2.433092;91
PARIS DOMBASLE BP;Bureau de Poste;23 RUE DOMBASLE;;;75015;PARIS;FRANCE;48.836161;2.297817;Géocodé au numéro;3631;97505A;;75115;48.836161, 2.297817;75
